Date,Holiday,Countries,Type,Description
04-14,Ambedkar Jayanti · Songkran,"India · Thailand",National/Cultural Holiday,India: birthday of Dr. B.R. Ambedkar (1891) – architect of the Indian Constitution and champion of Dalit rights · Thailand: traditional Thai New Year celebrated as a three-day water festival (April 13–15)
04-17,Independence Day,Syria,National Holiday,Anniversary of the withdrawal of French troops in 1946
04-18,Independence Day,Zimbabwe,National Holiday,Anniversary of independence from Great Britain in 1980
04-19,Revolution Anniversary (Día 19 de Abril),Venezuela,National Holiday,Anniversary of the beginning of Venezuela's independence movement in 1810
04-21,Tiradentes Day,Brazil,National Holiday,Commemoration of Tiradentes – martyr and early advocate for Brazilian independence; executed by hanging in 1792
04-23,St. George's Day · National Sovereignty and Children's Day,"England · Turkey",Cultural/National Holiday,England: feast day of the patron saint of England; no public holiday · Turkey (Ulusal Egemenlik ve Çocuk Bayramı): anniversary of the opening of the Grand National Assembly in 1920; dedicated to children worldwide
04-25,Anzac Day · Liberation Day · Carnation Revolution Day,"Australia · New Zealand · Italy · Portugal",National Holiday,"Three distinct national holidays coincide: Anzac Day (Australia/NZ) honors ANZAC troops who fought at Gallipoli in 1915 · Liberation Day (Italy) marks the end of Nazi-Fascist occupation in 1945 · Carnation Revolution Day (Portugal) marks the 1974 peaceful military coup that ended the Salazar dictatorship"
04-27,Freedom Day,South Africa,National Holiday,Anniversary of South Africa's first fully democratic elections on April 27 1994 – the end of Apartheid
variabel,Eid al-Fitr (عيد الفطر),"Islamic countries worldwide",Religious Holiday,Festival of Breaking the Fast at the end of Ramadan; typically three days of celebrations with prayers, family visits and gifts; date varies by lunar calendar
variabel,Passover (Pesach),"Israel · Jewish communities worldwide",Religious Holiday,Jewish Passover – commemoration of the Exodus from Egypt; Seder meal on the first night; lasts seven days (eight in the Diaspora)
variabel (May),Vesak / Buddha Purnima,"Sri Lanka · Thailand · Myanmar · Singapore · Nepal · worldwide (Buddhist)",Religious Holiday,Marks the birth, enlightenment and death of the Buddha; UNESCO-recognized; celebrated with lantern processions and temple visits
05-01,International Labour Day / May Day,"Worldwide (80+ countries) incl. Germany · Austria · Switzerland · France · Spain · Italy · China · Russia · Brazil",International Holiday,International Workers' Day; rooted in the 19th-century labor movement and the 1886 Haymarket affair in Chicago; public holiday in over 80 countries; not a federal holiday in the USA
05-03,Constitution Memorial Day (憲法記念日),Japan,National Holiday,Anniversary of Japan's post-war constitution coming into force in 1947
05-04,Greenery Day (みどりの日 · Midori no Hi),Japan,National Holiday,Day celebrating nature and the natural environment; falls within Golden Week
05-05,Children's Day · Cinco de Mayo,"Japan · Mexico · many countries",National/Cultural Holiday,Japan (Kodomo no Hi): Children's Day with carp streamers (Koinobori) symbolizing strength · Mexico: anniversary of the Mexican army's defeat of French forces at Puebla in 1862 · International Children's Day celebrated in many countries
05-08,Victory in Europe Day (V-E Day),"France · Belgium · Netherlands · Czech Republic",National Holiday,Anniversary of Germany's unconditional surrender on May 8 1945 ending World War II in Europe
05-09,Victory Day · Europe Day,"Russia · Europe (EU member states)",National/Political Holiday,Russia (День Победы): commemoration of the Soviet Union's victory over Nazi Germany; largest patriotic holiday · Europe Day: anniversary of the Schuman Declaration of 1950 which laid the groundwork for European integration
05-14,Independence Day,Paraguay,National Holiday,Anniversary of Paraguay's independence from Spain declared on May 14 1811
05-17,Constitution Day (Nasjonaldagen),Norway,National Holiday,Norway's Constitution Day of 1814; celebrated with children's parades in traditional costumes (bunad) across the country
05-20,Independence Day,Cameroon,National Holiday,Anniversary of Cameroon's independence from France on May 20 1960
05-25,Independence Day · Africa Day,"Jordan · African Union member states",National/Political Holiday,Jordan: independence from the British Mandate in 1946 · Africa Day: anniversary of the founding of the Organisation of African Unity in 1963
variabel (2nd Sun May),Mother's Day,"Germany · Austria · Switzerland · USA · Canada · Australia · UK · worldwide",Cultural Holiday,Day honoring mothers; celebrated on the second Sunday in May in most countries; not a public holiday
variabel (39 days after Easter),Ascension Thursday / Father's Day,"Germany · Austria · Switzerland · France · Belgium · Netherlands · Scandinavia · worldwide (Christian)",Religious/Cultural Holiday,Christian feast of Jesus' ascension into heaven; public holiday in many European countries; also celebrated as Father's Day (Vatertag) in Germany with outdoor hiking excursions
variabel (50 days after Easter),Whit Sunday (Pentecost),"Worldwide (Christian)",Religious Holiday,Descent of the Holy Spirit upon the apostles 50 days after Easter; one of the three principal Christian feasts
variabel (51 days after Easter),Whit Monday,"Germany · Austria · Switzerland · France · Netherlands · Belgium · Norway · worldwide (Christian)",Religious Holiday,Second day of Pentecost; public holiday in many European countries
variabel,Eid al-Adha (عيد الأضحى),"Islamic countries worldwide",Religious Holiday,Feast of Sacrifice commemorating Ibrahim's (Abraham's) willingness to sacrifice his son; livestock is slaughtered and meat shared; four-day celebration; date varies by lunar calendar
variabel (60 days after Easter),Corpus Christi,"Germany (BY·BW·HE·NW·RP·SL·SN·TH) · Austria · Switzerland · Spain · Italy · Portugal · Poland",Religious Holiday,Catholic feast honoring the real presence of Jesus in the Eucharist; celebrated with outdoor processions; public holiday in Catholic regions
06-01,Father's Day · International Children's Day,"Brazil · China · former socialist countries worldwide",Cultural Holiday,Father's Day (Dia dos Pais) in Brazil · International Children's Day in many countries especially those with a socialist tradition
06-02,Republic Day (Festa della Repubblica),Italy,National Holiday,Anniversary of the June 2 1946 referendum in which Italians chose a republic over monarchy; military parade on Via dei Fori Imperiali in Rome
06-05,Constitution Day (Grundlovsdag),Denmark,National Holiday,Anniversary of the Danish Constitution signed on June 5 1849 – Denmark's first democratic constitution
06-06,National Day (Nationaldagen),Sweden,National Holiday,Anniversary of Gustav Vasa's election as King of Sweden in 1523 and the adoption of a new constitution in 1809
06-10,Portugal Day (Dia de Portugal),Portugal,National Holiday,Death anniversary of national poet Luís de Camões in 1580; also commemorates the Portuguese people and their history
06-12,Russia Day · Independence Day · Valentine's Day (Brazil),"Russia · Philippines · Brazil",National/Cultural Holiday,Russia (День России): anniversary of Russia's sovereignty declaration in 1990 · Philippines: Independence Day from Spain in 1898 · Brazil: Valentine's Day (Dia dos Namorados) on the eve of St. Anthony's feast
06-14,Flag Day,USA,National Commemoration,Anniversary of the adoption of the Stars and Stripes on June 14 1777; not a public holiday
06-17,National Day (Þjóðhátíðardagurinn),Iceland,National Holiday,Anniversary of the founding of the Republic of Iceland on June 17 1944
06-19,Juneteenth,USA,National Holiday,Commemorates the emancipation of the last enslaved people in Texas on June 19 1865 – the effective end of slavery in the USA; federal holiday since 2021
06-21,Fête de la Musique · National Indigenous Peoples Day,"France · Canada",Cultural Holiday,France: World Music Day at the summer solstice with thousands of free concerts in the streets · Canada: National Indigenous Peoples Day honoring the cultures and contributions of First Nations peoples
06-23,Midsummer / Jāņi · National Holiday,"Latvia · Lithuania · Luxembourg",Cultural/National Holiday,Midsummer night (Jāņi) in Latvia and Lithuania with bonfires and folk songs · Luxembourg: official birthday celebration of the Grand Duke
06-24,Midsommar · St. John's Eve · Fête Nationale du Québec,"Sweden · Finland · Spain · Latin America · Canada (Québec)",Cultural/Religious Holiday,Sweden: Midsommar with maypole dancing and herring meals – celebrated on the Friday before June 24 · Spain and Latin America: St. John's Eve (Noche de San Juan) with beach bonfires · Québec: Fête Nationale (St-Jean-Baptiste Day) – celebration of Francophone culture
06-25,Independence Day · Statehood Day,"Mozambique · Slovenia",National Holiday,Mozambique: independence from Portugal on June 25 1975 · Slovenia: Statehood Day marking Slovenian sovereignty
06-26,Independence Day,Madagascar,National Holiday,Anniversary of Madagascar's independence from France on June 26 1960
06-27,Independence Day,Djibouti,National Holiday,Anniversary of Djibouti's independence from France on June 27 1977
07-01,Canada Day · Independence Day,"Canada · Rwanda",National Holiday,Canada Day: anniversary of Canadian Confederation on July 1 1867 · Rwanda: independence from Belgian colonial rule in 1962
07-04,Independence Day (Fourth of July),USA,National Holiday,Anniversary of the Declaration of Independence from Great Britain signed on July 4 1776; celebrated with fireworks parades and barbecues
07-05,Independence Day,Venezuela,National Holiday,Anniversary of the signing of Venezuela's Declaration of Independence from Spain in 1811
07-07,Tanabata (七夕 · Star Festival),Japan,Cultural Holiday,Star Festival based on the legend of two lovers (Hikoboshi and Orihime) separated by the Milky Way; wishes written on paper strips and hung on bamboo; not a public holiday
07-09,Independence Day (Día de la Independencia),Argentina,National Holiday,Anniversary of Argentina's Declaration of Independence from Spain in 1816
07-14,Bastille Day (Fête Nationale),France,National Holiday,"Anniversary of the storming of the Bastille on July 14 1789 – a key event of the French Revolution; celebrated with a military parade on the Champs-Élysées, fireworks and public festivities"
07-20,Independence Day,Colombia,National Holiday,Anniversary of Colombia's Declaration of Independence from Spain on July 20 1810
07-21,National Holiday (Fête Nationale),Belgium,National Holiday,Anniversary of King Leopold I's constitutional oath on July 21 1831 – the founding of modern Belgium
07-23,Revolution Day (National Day),Egypt,National Holiday,Anniversary of the Egyptian Revolution of July 23 1952 which overthrew King Farouk and led to the proclamation of the republic
07-28,Independence Day (Fiestas Patrias),"Peru · Venezuela",National Holiday,Peru: anniversary of the Declaration of Independence from Spain proclaimed by José de San Martín on July 28 1821 · Venezuela: anniversary of the signing of the Act of Independence in 1811
07-30,Independence Day,Vanuatu,National Holiday,Anniversary of Vanuatu's independence from joint British and French colonial rule on July 30 1980
08-01,Swiss National Day (Bundesfeiertag),Switzerland,National Holiday,Anniversary of the Rütli Oath of 1291 – the founding pact of the Swiss Confederation; celebrated with bonfires on mountains and fireworks
08-06,Independence Day · Hiroshima Day,"Bolivia · Japan (memorial)",National/Commemoration,Bolivia: anniversary of independence from Spain on August 6 1825 · Japan: annual commemoration of the atomic bomb dropped on Hiroshima on August 6 1945; not a public holiday but widely observed with peace ceremonies
08-09,National Day · Nagasaki Day,"Singapore · Japan (memorial)",National/Commemoration,Singapore: independence from Malaysia on August 9 1965 · Japan: annual commemoration of the atomic bomb dropped on Nagasaki on August 9 1945; not a public holiday
08-10,Independence Day,Ecuador,National Holiday,Anniversary of the first cry of independence (Primer Grito de Independencia) in Quito on August 10 1809
08-11,Independence Day,Chad,National Holiday,Anniversary of Chad's independence from France on August 11 1960
08-14,Independence Day,Pakistan,National Holiday,Anniversary of Pakistan's independence from British India on August 14 1947
08-15,Assumption of Mary · Independence Day · Liberation Day,"Germany (BY·SL) · Austria · Italy · India · South Korea · many Catholic countries",Religious/National Holiday,"Three major observances on August 15: Catholic Assumption of Mary (feast of Mary's bodily assumption into heaven; public holiday in Catholic regions) · India's Independence Day (independence from Great Britain in 1947; flag-raising ceremony at the Red Fort) · South Korea's Liberation Day / Gwangbokjeol (liberation from Japanese colonial rule in 1945)"
08-17,Independence Day,Indonesia,National Holiday,Anniversary of Indonesia's Proclamation of Independence from the Netherlands on August 17 1945; celebrated with flag ceremonies and competitions across the archipelago
08-24,Independence Day,Ukraine,National Holiday,Anniversary of Ukraine's declaration of independence from the Soviet Union on August 24 1991
08-25,Independence Day,Uruguay,National Holiday,Anniversary of Uruguay's Declaration of Independence in 1825
08-27,Independence Day,Moldova,National Holiday,Anniversary of Moldova's declaration of independence from the Soviet Union on August 27 1991
08-31,Independence Day,"Malaysia · Trinidad and Tobago",National Holiday,Malaysia (Merdeka Day): independence from Great Britain on August 31 1957 · Trinidad and Tobago: independence from Great Britain on August 31 1962
variabel (mid-Aug),Obon (お盆),Japan,Religious/Cultural Holiday,Buddhist festival of the dead during which the spirits of ancestors are believed to return home; celebrated with Bon-Odori dances and lantern floating; not a public holiday but widely observed
variabel (Aug/Sept),Janmashtami,India,Religious Holiday,Hindu celebration of the birth of the god Krishna; marked by night-long prayers, fasting and dramatic reenactments
09-07,Independence Day (Dia da Independência),Brazil,National Holiday,Anniversary of Brazil's Declaration of Independence from Portugal proclaimed by Dom Pedro I on September 7 1822; military parade in Brasília
09-15,Central American Independence Day,"Costa Rica · El Salvador · Guatemala · Honduras · Nicaragua",National Holiday,Shared anniversary of Central America's independence from Spain declared on September 15 1821; torch relays and parades across all five countries
09-16,Independence Day (Día de la Independencia),Mexico,National Holiday,Anniversary of Padre Miguel Hidalgo's Grito de Independencia on the night of September 15–16 1810; the President rings the bell at midnight and reads the Grito from the National Palace
09-18,Independence Day (Fiestas Patrias),Chile,National Holiday,Anniversary of the formation of Chile's first national government on September 18 1810; celebrated with rodeo events and traditional Cueca dancing
09-21,Independence Day,Malta,National Holiday,Anniversary of Malta's independence from Great Britain on September 21 1964
variabel (Sept/Oct),Rosh Hashana,"Israel · Jewish communities worldwide",Religious Holiday,Jewish New Year; the shofar ram's horn is blown 100 times; a two-day celebration with sweet foods symbolizing hopes for a sweet new year; date by Jewish lunar calendar
variabel (Sept/Oct),Yom Kippur,"Israel · Jewish communities worldwide",Religious Holiday,Jewish Day of Atonement – the holiest day in the Jewish year; strict 25-hour fast; day of prayer and repentance
variabel (Sept/Oct),Sukkot,"Israel · Jewish communities worldwide",Religious Holiday,Jewish Feast of Tabernacles – commemorates the 40 years of desert wandering; temporary huts (sukkot) are built and meals eaten inside; seven days
variabel (Sept/Oct),Navratri,India,Religious Holiday,Nine-night Hindu festival honoring the goddess Durga in her nine forms; celebrated with Garba and Dandiya dance performances
variabel (Sept/Oct),Mid-Autumn Festival · Chuseok,"China · Vietnam · South Korea",Cultural/National Holiday,Harvest moon festival celebrated across East Asia: mooncakes eaten and lanterns lit (China/Vietnam) · Chuseok (Korea): three-day harvest festival with ancestral rites and traditional games
variabel (2nd Mon Oct),Thanksgiving,Canada,National Holiday,Canadian Thanksgiving celebrating the harvest; celebrated with turkey dinners and family gatherings
10-01,German Unity Day · National Day,"Germany · China",National Holiday,Germany (Tag der Deutschen Einheit): anniversary of German Reunification on October 3 1990 – note officially October 3 but here consolidated · China (国庆节): anniversary of the founding of the People's Republic of China on October 1 1949; seven-day national holiday (Golden Week)
10-02,Gandhi Jayanti,India,National Holiday,Birthday of Mahatma Gandhi born October 2 1869; also observed worldwide as the International Day of Non-Violence (UNESCO)
10-03,German Unity Day (Tag der Deutschen Einheit),Germany,National Holiday,Official anniversary of German Reunification on October 3 1990 when the German Democratic Republic formally joined the Federal Republic of Germany
10-03,National Foundation Day (개천절 · Gaecheonjeol),South Korea,National Holiday,Mythical founding of the first Korean kingdom of Go-Joseon by the god-king Dangun in 2333 BC
10-05,Republic Day (Dia da República),Portugal,National Holiday,Anniversary of the proclamation of the Portuguese Republic on October 5 1910
10-09,Hangul Day (한글날),South Korea,National Holiday,Anniversary of King Sejong the Great's promulgation of the Korean Hangul alphabet in 1446
10-12,Día de la Hispanidad · Columbus Day,"Spain · USA · Latin America",National Holiday,Commemoration of Columbus's arrival in the Americas on October 12 1492 (Spain: Día de la Hispanidad / Fiesta Nacional; USA: Columbus Day; in several US states and Latin American countries observed as Día de la Raza or Indigenous Peoples' Day instead)
10-26,National Holiday,Austria,National Holiday,Anniversary of Austria's Declaration of Permanent Neutrality on October 26 1955 following the Austrian State Treaty
10-28,Ochi Day (Επέτειος του Όχι),Greece,National Holiday,Commemoration of Prime Minister Metaxas's rejection of Mussolini's ultimatum on October 28 1940 (the Greek word for No – Όχι)
10-29,Republic Day (Cumhuriyet Bayramı),Turkey,National Holiday,Anniversary of the proclamation of the Turkish Republic by Mustafa Kemal Atatürk on October 29 1923
10-31,Halloween · Reformation Day,"USA · Ireland · Canada · UK · Germany (BB·MV·SN·ST·TH) · worldwide",Cultural/Religious Holiday,Halloween: eve of All Saints' Day with costumes and trick-or-treat; rooted in the Celtic festival Samhain; not a public holiday · Reformation Day: commemorating Martin Luther's 95 Theses of 1517; public holiday in Protestant German federal states
variabel (Oct/Nov),Diwali (Deepavali),"India · Nepal · Singapore · Sri Lanka · worldwide Hindu and Jain communities",Religious Holiday,Hindu and Jain festival of lights symbolizing the triumph of light over darkness; oil lamps and candles lit; fireworks; date follows the Hindu lunar calendar
variabel (Oct),Dussehra (Dasara),India,Religious Holiday,Hindu festival marking the victory of the god Rama over the demon Ravana; giant effigies of Ravana are burned; tenth day of Navratri
11-01,All Saints' Day (Toussaint · Allerheiligen · Ognissanti · Wszystkich Świętych),"Germany (BY·BW·NW·RP·SL) · Austria · France · Spain · Portugal · Italy · Poland · Belgium · Luxembourg",Religious Holiday,Catholic and Anglican feast commemorating all saints; graves decorated with flowers and candles; public holiday in Catholic regions of Europe
11-02,All Souls' Day · Día de los Muertos,"Germany · Austria · Mexico · Latin America",Religious/Cultural Holiday,All Souls' Day: Catholic day of prayer for the dead (not a public holiday in Germany) · Día de los Muertos: Mexican and Latin American Day of the Dead – altars (ofrendas) and offerings for deceased relatives; UNESCO Intangible Cultural Heritage
11-05,Guy Fawkes Night,United Kingdom,Cultural Tradition,Commemoration of the failed Gunpowder Plot of 1605; celebrated with bonfires and fireworks; not a public holiday
11-09,Fall of the Berlin Wall (Mauerfall),Germany,Commemoration,Anniversary of the fall of the Berlin Wall on November 9 1989; not a public holiday but widely commemorated
11-11,Armistice Day · Veterans Day · Remembrance Day,"France · Belgium · USA · Canada · Australia · New Zealand · United Kingdom",National/Commemoration Holiday,End of World War I at the 11th hour of the 11th day of the 11th month in 1918; observed as Veterans Day (USA) · Remembrance Day (Commonwealth countries) · Armistice Day (France/Belgium); a minute of silence is kept; the red poppy is the symbol in Commonwealth countries
11-15,Republic Day (Proclamação da República),Brazil,National Holiday,Anniversary of the proclamation of the Brazilian Republic on November 15 1889
11-17,Velvet Revolution Day,"Czech Republic · Slovakia",National Holiday,Anniversary of the Velvet Revolution of November 17 1989 – the peaceful popular uprising that ended Communist rule in Czechoslovakia
variabel (4th Thu Nov),Thanksgiving,USA,National Holiday,American Thanksgiving celebrating the harvest and the Pilgrims' 1621 feast; celebrated with turkey dinner family gatherings and the Macy's Thanksgiving Day Parade
variabel (Nov/Dec),Hanukkah,"Israel · Jewish communities worldwide",Religious Holiday,Jewish Festival of Lights; one candle of the Menorah lit each evening for eight nights; commemorates the miracle of oil in the Temple; date by Jewish lunar calendar
variabel,Islamic New Year (Ra's as-Sana al-Hijriyya),"Islamic countries worldwide",Religious Holiday,Beginning of the Islamic lunar year (Hijri calendar); date shifts approximately 11 days earlier each Gregorian year
variabel,Mawlid an-Nabi,"Islamic countries worldwide",Religious Holiday,Birthday of the Prophet Muhammad; marked by processions prayers and charitable acts; date varies annually by lunar calendar
12-01,Great Union Day (Ziua Națională),Romania,National Holiday,Anniversary of the unification of Transylvania and other provinces with Romania on December 1 1918
12-02,National Day,United Arab Emirates,National Holiday,Anniversary of the founding of the UAE federation on December 2 1971
12-05,St. Nicholas Eve · St. Nicholas Day,"Netherlands · Belgium · Germany · Austria",Religious/Cultural Tradition,Sinterklaasavond (Dec 5) in the Netherlands and Belgium: the biggest children's celebration – gifts and poems from Sinterklaas · St. Nicholas Day (Dec 6) in Germany and Austria: children receive sweets in their boots; the Krampus accompanies St. Nicholas in Austria and Bavaria to warn naughty children
12-06,Independence Day,Finland,National Holiday,Anniversary of Finland's declaration of independence from Russia on December 6 1917
12-08,Immaculate Conception,"Germany (BY·SL) · Austria · Spain · Portugal · Italy · Malta · many Catholic countries",Religious Holiday,Catholic feast celebrating the conception of the Virgin Mary free from original sin; public holiday in Catholic countries and regions
12-10,International Human Rights Day,Worldwide,International Commemoration,Anniversary of the Universal Declaration of Human Rights adopted by the UN General Assembly on December 10 1948; not a public holiday
12-12,Jamhuri Day,Kenya,National Holiday,Anniversary of Kenya becoming a republic on December 12 1964
12-13,St. Lucia Day,"Sweden · Norway · Finland",Cultural Holiday,Feast of Saint Lucia; the oldest daughter dresses in white with a crown of candles; symbol of light during the darkest time of year; choirs perform traditional songs
12-16,Day of Reconciliation · Virgen de Guadalupe,"South Africa · Mexico",National/Religious Holiday,South Africa: Day of Reconciliation bridging historical divides between population groups · Mexico: Feast of the Virgin of Guadalupe with major pilgrimage to the Basilica in Mexico City; one of Mexico's most important religious observances
12-17,National Day,Bhutan,National Holiday,Anniversary of the founding of the Bhutanese monarchy on December 17 1907
12-18,National Day,Qatar,National Holiday,Anniversary of the day Qatar came under the rule of Sheikh Jassim bin Mohammed Al Thani in 1878
12-24,Christmas Eve,"Germany · Austria · Switzerland · Scandinavia · Poland · many European and Latin American countries",Religious/Cultural Holiday,Eve of Christmas; primary gift-giving celebration in Germany Austria and Switzerland (Bescherung); Wigilia in Poland features 12 meatless dishes; Nochebuena in Latin America; not a federal public holiday in most countries but widely observed
12-25,Christmas Day,"Worldwide (Christian countries) incl. USA · Canada · Australia · UK · Germany · Austria · France · Italy · Spain · Portugal · Brazil · Poland · Russia (some regions) · Philippines",Religious/Cultural Holiday,Celebration of the birth of Jesus Christ; the most important family festival of the year across the Christian world; traditions include decorated trees gift-giving and special meals
